ContractCode,ShortName,CallOrPut,cop,ExerciseDate,TradingDate,DeltaDays,t,o,s,k,r,iv
510300C2106A05000,300ETF购6月4935A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.3722,5.295,4.935,0.015,0.21591494624206076
510300P2106A05250,300ETF沽6月5182A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0427,5.295,5.182,0.015,0.1873440766208289
510300P2109M05750,300ETF沽9月5750,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.5544,5.295,5.75,0.015,0.24139325414872104
510300C2106M04700,300ETF购6月4700,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.6,5.295,4.7,0.015,0.23910633288210303
510300P2106M06500,XD300ETF沽6月6500,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,1.2052,5.295,6.5,0.015,0.45027838781722324
510300P2106M04600,300ETF沽6月4600,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0008,5.295,4.6,0.015,0.2587493215991621
510300P2106A05750,300ETF沽6月5675A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.3845,5.295,5.675,0.015,0.2095973030965206
510300C2106M04500,300ETF购6月4500,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.8,5.295,4.5,0.015,0.31807097708767534
510300P2106A04800,300ETF沽6月4737A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0015,5.295,4.737,0.015,0.22928468678023192
510300C2109M04600,300ETF购9月4600,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.7182,5.295,4.6,0.015,0.12801075066604314
510300C2106A04400,300ETF购6月4343A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.954,5.295,4.343,0.015,0.11145146870288203
510300P2106M06250,XD300ETF沽6月6250,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.9482,5.295,6.25,0.015,0.09159848370495385
510300C2106M04900,XD300ETF购6月4900,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.4002,5.295,4.9,0.015,0.16622276183341905
510300P2106M05500,XD300ETF沽6月5500,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.2316,5.295,5.5,0.015,0.20590523729769095
510300C2106A06000,300ETF购6月5922A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.004,5.295,5.922,0.015,0.2607818542094395
510300C2106M05500,XD300ETF购6月5500,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0309,5.295,5.5,0.015,0.2059251834905558
510300C2106A04700,300ETF购6月4639A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.6518,5.295,4.639,0.015,0.07582713569997672
510300P2106M04800,XD300ETF沽6月4800,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0027,5.295,4.8,0.015,0.22550297890009857
510300P2109M05000,300ETF沽9月5000,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.1171,5.295,5.0,0.015,0.2168128235102602
510300P2109M06750,300ETF沽9月6750,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,1.4702,5.295,6.75,0.015,0.32659143457745415
510300C2106A05250,300ETF购6月5182A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.1589,5.295,5.182,0.015,0.1853086571730635
510300P2106M05750,XD300ETF沽6月5750,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.459,5.295,5.75,0.015,0.23668246928253486
510300P2106A04700,300ETF沽6月4639A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0012,5.295,4.639,0.015,0.25804049136734303
510300C2106M05250,XD300ETF购6月5250,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.1155,5.295,5.25,0.015,0.18512211635781184
510300P2106M06000,XD300ETF沽6月6000,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.7,5.295,6.0,0.015,0.07353556910194413
510300C2109M04500,300ETF购9月4500,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.8023,5.295,4.5,0.015,0.038893609606895294
510300C2106M04800,XD300ETF购6月4800,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.502,5.295,4.8,0.015,0.23273740152052724
510300C2106A05500,300ETF购6月5428A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0452,5.295,5.428,0.015,0.19719276002979907
510300P2109M05500,300ETF沽9月5500,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.366,5.295,5.5,0.015,0.22592665422102884
510300P2106A04600,300ETF沽6月4540A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0007,5.295,4.54,0.015,0.27557039828966784
510300P2106A04500,300ETF沽6月4441A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0005,5.295,4.441,0.015,0.2990020646034491
510300C2109M05750,300ETF购9月5750,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0944,5.295,5.75,0.015,0.21004219299585022
510300C2109M06500,300ETF购9月6500,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0225,5.295,6.5,0.015,0.24255306444203462
510300C2106M06000,XD300ETF购6月6000,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0035,5.295,6.0,0.015,0.2794674044351336
510300C2106M04600,300ETF购6月4600,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.6947,5.295,4.6,0.015,0.0755562097269764
510300C2106A06500,300ETF购6月6415A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0007,5.295,6.415,0.015,0.3260536384965557
510300P2106A06250,300ETF沽6月6169A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.8626,5.295,6.169,0.015,0.08333915069992867
510300C2106M05750,XD300ETF购6月5750,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.008,5.295,5.75,0.015,0.23358574769725496
510300C2106M06750,300ETF购6月6750,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0007,5.295,6.75,0.015,0.40147576998370316
510300C2109M05500,300ETF购9月5500,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.1576,5.295,5.5,0.015,0.2009646506069876
510300P2109M04800,300ETF沽9月4800,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0611,5.295,4.8,0.015,0.21256622812789513
510300P2106A06000,300ETF沽6月5922A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.6187,5.295,5.922,0.015,0.03609540424531393
510300C2106A05750,300ETF购6月5675A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0106,5.295,5.675,0.015,0.21856325483950312
510300P2106A05000,300ETF沽6月4935A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.006,5.295,4.935,0.015,0.20037444150514433
510300P2106M04700,300ETF沽6月4700,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0018,5.295,4.7,0.015,0.24956535519867468
510300P2109M05250,300ETF沽9月5250,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.2202,5.295,5.25,0.015,0.21978045227060217
510300P2106A06500,300ETF沽6月6415A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,1.1091,5.295,6.415,0.015,0.11071223022525903
510300C2109M06750,300ETF购9月6750,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0155,5.295,6.75,0.015,0.25607648598902677
510300C2106A06750,300ETF购6月6662A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0006,5.295,6.662,0.015,0.37607752971323105
510300C2109M05250,300ETF购9月5250,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.259,5.295,5.25,0.015,0.19363082881583535
510300P2109M06250,300ETF沽9月6250,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,1.0043,5.295,6.25,0.015,0.2944948496537059
510300C2106A06250,300ETF购6月6169A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0019,5.295,6.169,0.015,0.30220139717498173
510300P2106M06750,300ETF沽6月6750,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,1.4821,5.295,6.75,0.015,0.3324145128162486
510300P2106M05250,XD300ETF沽6月5250,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0688,5.295,5.25,0.015,0.190241207759795
510300C2109M04900,300ETF购9月4900,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.4758,5.295,4.9,0.015,0.1819400124433
510300P2106M04500,300ETF沽6月4500,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0005,5.295,4.5,0.015,0.2788149806478452
510300C2109M06250,300ETF购9月6250,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0345,5.295,6.25,0.015,0.22989205488431685
510300P2109M04900,300ETF沽9月4900,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0873,5.295,4.9,0.015,0.21611492046325445
510300P2109M04600,300ETF沽9月4600,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0317,5.295,4.6,0.015,0.21718912357432857
510300C2106A04500,300ETF购6月4441A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.8324,5.295,4.441,0.015,0.07899220049979601
510300C2106A04600,300ETF购6月4540A,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.757,5.295,4.54,0.015,0.07582456084767068
510300P2109M04700,300ETF沽9月4700,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0456,5.295,4.7,0.015,0.21664341074966878
510300P2106A04900,300ETF沽6月4836A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0028,5.295,4.836,0.015,0.2123969081252111
510300P2106A06750,300ETF沽6月6662A,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,1.3557,5.295,6.662,0.015,0.12977557757084474
510300C2106M05000,XD300ETF购6月5000,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.3083,5.295,5.0,0.015,0.19046756731939635
510300P2106M05000,XD300ETF沽6月5000,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0103,5.295,5.0,0.015,0.19508308262431023
510300P2109M04500,300ETF沽9月4500,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0212,5.295,4.5,0.015,0.21730177301616996
